ID,Title,Artist,Genres,Location,Latitude,Longitude,Tempo,Year
SOOAUWY12A8C14301D,Althea Cooley,Mack and Jamie,"['comedian', 'comedy', 'comedy central', 'funny', 'spoken word', 'stand-up comedy']",,,,119,0
SOGUTKT12A8C1442E4,Merry-Go-Runaround,Bob Hope,"['american', 'blues', 'bolero', 'christmas music', 'cockney rhyming slang', 'comedian', 'comedy', 'country', 'east coast blues', 'england', 'folk', 'funk soul', 'funny', 'holiday', 'humorous', 'indie rock', 'jazz', 'jump blues', 'latin', 'louisiana blues', 'merengue', 'oldies', 'rock', 'salsa', 'spoken word', 'stand-up comedy', 'swing', 'united states', 'vaudeville', 'vocal pop', 'world']","Eltham, England",51.45102,0.05102,133,2003
SORWVEZ12A8C13C031,ONE WAY LOVE,An Cafe,['dance rock'],,,,153,0
SOYHZYO12A8C1391D8,Yearning Just For You,Bob Wills,"['30s', '40s', 'american', 'americana', 'big band', 'classic', 'classic country', 'country', 'cowboy', 'fiddle', 'folk', 'hillbilly', 'honky tonk', 'old country', 'old timey', 'rockabilly', 'swing', 'texas', 'texas country', 'texas music', 'texas swing', 'traditional country', 'united states', 'western', 'western swing', 'world']","Kosse, TX",31.30757,-96.63166,88,0
SOUJQJI12AB0183C80,Canción De Títeres,María Elena Walsh,"['60s', '70s', 'argentina', 'argentinian', 'buenos aires', 'children music', 'latin', 'lullaby', 'piano', 'poetry', 'spanish', 'tango']",,,,111,0
SOPWHEV12AB017DC10,Don't Know How To Be,God Lives Underwater,"['80s', '90s', 'alternative', 'alternative pop rock', 'alternative rock', 'american', 'electro', 'electro rock', 'electronic', 'electronica', 'experimental', 'gothic', 'gothic metal', 'grunge', 'hard rock', 'hardcore', 'heavy', 'heavy metal', 'indie', 'indie rock', 'industrial', 'industrial metal', 'industrial rock', 'metal', 'metalcore', 'noise', 'nu metal', 'pop', 'post-grunge', 'progressive', 'progressive rock', 'psychedelic', 'punk', 'rock', 'screamo', 'ska', 'soundtrack', 'synth', 'techno', 'trip hop', 'united states']",,,,170,1995
SOAOFAT12AB018975D,Sincerely,Don & Juan,"['50s', 'american', 'ballad', 'blues-rock', 'brazil', 'brazilian', 'classic rock', 'doo-wop', 'east coast', 'funk soul', 'german pop', 'hip hop', 'lyrical', 'male vocalist', 'ohio', 'pop', 'pop rock', 'rap', 'rock', 'soul', 'surf music']",Ohio,40.19033,-82.66947,98,0
SOCORMS12A67AE124F,Devil's Daughter,Eric Burdon,"['00s', '80s', 'album rock', 'alternative rock', 'blue-eyed soul', 'blues', 'blues-rock', 'british', 'british blues', 'british invasion', 'classic rock', 'disco', 'easy listening', 'electric blues', 'electronic', 'folk rock', 'funk', 'funk rock', 'germany', 'hard rock', 'heavy metal', 'hip hop', 'house', 'indie', 'indie rock', 'jazz', 'jazz funk', 'metal', 'pop', 'pop rap', 'pop rock', 'progressive metal', 'progressive rock', 'psychedelic', 'psychedelic rock', 'psychobilly', 'punk', 'r&b', 'rap', 'rap rock', 'reggae', 'rock', ""rock 'n roll"", 'screamo', 'shock rock', 'singer-songwriter', 'soft rock', 'soul']","Walker-on-Tyne, England",54.97938,-1.54508,80,1988
SOLXDDC12A6701FBFD,I'm Back,Eminem,"['beats', 'black', 'classic', 'club', 'comedy', 'funk', 'funny', 'hardcore rap', 'hip hop', 'party music', 'pop', 'producer', 'rap', 'rock', 'soundtrack', 'underground']","St. Joseph, MO",,,180,2000
SODYJJO12A58A7C861,It's Good To Know Jesus,Mississippi Mass Choir,"['black gospel', 'choir', 'christian', 'contemporary gospel', 'gospel', 'gospel choir', 'praise & worship', 'r&b', 'traditional gospel', 'united states', 'worship music']",,,,116,2003
