song_id,track_id,title,artist_name,artist_terms,location,lat,lon,tempo,year
SOPKWZP12A6D4F7DAF,TRBBXEG128F424EC2C,Babes In Arms,April Wine,"['00s', '60s', '70s', '80s', '90s', 'alternative rock', 'aor', 'blues-rock', 'canada', 'canadian', 'classic', 'classic rock', 'country', 'country rock', 'disco', 'downtempo', 'electronic', 'energetic', 'european', 'folk', 'folk rock', 'garage rock', 'germany', 'guitar', 'hair metal', 'hard rock', 'heavy metal', 'hip hop', 'male', 'nederland', 'new wave', 'oldies', 'pop', 'pop metal', 'pop rock', 'rock', ""rock 'n roll"", 'soft rock', 'soul', 'synthpop', 'united states', 'vocal', 'world']","Halifax, Nova Scotia, Canada",44.64616,-63.57392,127,1979
SODVVZT12CF58273DB,TRBBXGU12903CCC870,The Christmas Song,Mannheim Steamroller,"['00s', '70s', '80s', '90s', 'abstract', 'acoustic', 'adult alternative', 'alternative', 'ambient', 'american', 'christian', 'christmas music', 'classical', 'contemporary instrumental', 'country', 'cover', 'electronic', 'electronica', 'experimental', 'folk', 'groove', 'group', 'holiday', 'house', 'instrumental', 'instrumental pop', 'jazz', 'mellow', 'modern classical', 'modern rock', 'neoclassic', 'neoclassical', 'new age', 'ohio', 'piano', 'pop', 'progressive', 'progressive electronic', 'progressive rock', 'relax', 'renaissance', 'rock', 'soft rock', 'symphonic rock', 'synthpop', 'techno', 'united states', 'world']","Omaha, NE",41.26069,-95.93995,96,2009
SOYTUNS12A8C134C16,TRBBXSE128F42798F6,Honey,Mariah Carey,"['adult contemporary', 'ballad', 'classic', 'club', 'dance pop', 'disco', 'diva', 'female', 'gospel', 'hip hop', 'piano', 'pop', 'rap', 'remix', 'sexy', 'singer', 'smooth', 'soul', 'soundtrack', 'urban', 'vocal', 'voice']","New York, New York",40.71455,-74.00712,96,1997
SOJMRUS12A8C13693A,TRBBXTY128F427EA62,Rescue And Breakout,James Horner,"['beautiful', 'celtic', 'classic', 'classical', 'composer', 'electronic', 'game', 'los angeles', 'movie', 'orchestra', 'original score', 'piano', 'rock', 'soundtrack']","Los Angeles, CA",34.05349,-118.24532,96,2003
SOAEHZK12AB0182ADF,TRBBXLI128F931BC58,20 horas de nada,Alex Ubago,"['acoustic', 'alternative', 'ballad', 'guitar', 'instrumental', 'latin', 'latin pop', 'male vocalist', 'musica', 'piano', 'pop', 'romantic', 'spain', 'spanish']","Vitoria, Spain",42.84751,-2.67973,122,2009
SODEAZT12A8C135EA2,TRBBXML128F4256DFF,Ur Själslig Död,Månegarm,"['90s', 'acoustic', 'ambient', 'black metal', 'celtic', 'country', 'dark ambient', 'death metal', 'doom metal', 'drone', 'electronic', 'epic', 'epic metal', 'experimental', 'female vocalist', 'folk', 'folk metal', 'folk rock', 'gothic', 'gothic metal', 'grindcore', 'heavy metal', 'melodic black metal', 'melodic death metal', 'melodic metal', 'metal', 'nederland', 'neofolk', 'noise', 'pagan black metal', 'pagan metal', 'progressive metal', 'rock', 'scandinavia', 'sweden', 'swedish', 'swedish metal', 'thrash metal', 'viking metal', 'violin', 'world']",Norrtälje,59.75952,18.70249,148,2007
SOUKRZV12AB0182E90,TRBBZRF128F9321407,Ain't That Something,High Strung_ The,"['alternative rock', 'bass', 'bluegrass', 'daytrotter', 'detroit', 'fir', 'hip hop', 'indie', 'indie pop', 'indie power pop', 'indie rock', 'instrumental', 'pop', 'pop rock', 'post-grunge', 'rock', 'sxsw 2007', 'sxsw 2009']","Detroit, MI",42.33168,-83.04792,121,2003
SOZDQHO12AB018512F,TRBBZFO128F932CD27,2StepN,North Mississippi Allstars,"['00s', '60s', '90s', 'alternative country', 'alternative rock', 'american', 'americana', 'blues', 'blues-rock', 'chill-out', 'classic rock', 'contemporary', 'country', 'country rock', 'delta blues', 'downtempo', 'electronic', 'folk', 'folk rock', 'funk', 'garage rock', 'gospel', 'guitar', 'guitar virtuoso', 'jam', 'jam band', 'jazz', 'male vocalist', 'r&b', 'retro rock', 'rock', ""rock 'n roll"", 'roots', 'roots rock', 'singer-songwriter', 'soft rock', 'soul', 'southern', 'southern rock', 'swamp rock']","Hernando, MS",34.82353,-89.99726,125,2006
SOPWWAV12A8C13A825,TRBBBOA128F42624DA,Sickness,Agnostic Front,"['classic', 'crossover', 'fast', 'hardcore', 'hardcore punk', 'heavy', 'heavy metal', 'metal', 'new york', 'political', 'punk', 'punk metal', 'rock', 'skinhead', 'thrash metal']","New York, NY",40.71455,-74.00712,151,1999
SOICLQB12A8C13637C,TRBBBLA128F424E963,Exodus,Sunscreem,"['90s', 'alternative', 'alternative dance', 'ambient', 'belgium', 'breakbeat', 'british', 'chill-out', 'classic rock', 'club', 'dance', 'dance pop', 'dancehall', 'deep house', 'disco', 'downtempo', 'electronic', 'electronica', 'female vocalist', 'hard house', 'hardcore', 'hip hop', 'house', 'intelligent dance music', 'italy', 'jungle music', 'pop', 'pop rap', 'pop rock', 'progressive', 'progressive house', 'progressive trance', 'rave', 'reggae', 'rock', 'soft rock', 'speed garage', 'sweden', 'synthpop', 'techno', 'trance', 'tribal house', 'uk garage', 'united states']","Essex, England",51.77045,0.64255,130,1995
SOEOYBN12A6D4F9E2C,TRBBULA128F146E122,Turn The Heat Up,Bobaflex,"['alternative', 'alternative metal', 'alternative rock', 'american', 'angry music', 'crossover', 'death metal', 'groove', 'hard rock', 'heavy metal', 'industrial metal', 'juggalo', 'metal', 'metalcore', 'nu metal', 'party music', 'post-grunge', 'rap metal', 'rapcore', 'rock', 'tvt', 'united states', 'us metal', 'west virginia']","Huntington, WV",38.41982,-82.44537,93,2005
SOAPDWC12AC468BB3B,TRBBUPS12903CFC938,The Future,Benga,"['00s', 'ambient', 'ambient dub', 'bass', 'beats', 'breakbeat', 'british', 'chill-out', 'club dance', 'dance', 'deep', 'drum and bass', 'dub', 'dubstep', 'electro', 'electronic', 'electronica', 'england', 'european', 'experimental', 'fm4', 'freakbeat', 'garage', 'grime', 'hip hop', 'house', 'instrumental', 'intelligent dance music', 'london', 'minimal', 'rap', 'rave', 'raw', 'turnablism', 'uk garage', 'underground hip hop', 'united states']","London, United Kingdom",51.50632,-0.12714,87,2006
